2024-05-12T16:32:14,202 WARN  org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-05-12T16:32:15,969 INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8083"]
2024-05-12T16:32:16,023 INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8083 (http) with context path ''
2024-05-12T16:32:16,046 INFO  com.github.leovd100.message.service.Application - Started Application in 7.883 seconds (process running for 8.986)
2024-05-12T16:32:24,189 INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-05-12T16:32:24,384 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2024-05-12T16:32:24,404 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2024-05-12T16:32:30,544 INFO  com.github.leovd100.message.service.Application - Starting Application using Java 21.0.1 with PID 2644 (C:\marketing Capture\message.service\message.service\target\classes started by Leonardo Vieira in C:\marketing Capture\message.service\message.service)
2024-05-12T16:32:30,559 DEBUG com.github.leovd100.message.service.Application - Running with Spring Boot v3.1.11, Spring v6.0.19
2024-05-12T16:32:30,561 INFO  com.github.leovd100.message.service.Application - No active profile set, falling back to 1 default profile: "default"
2024-05-12T16:32:31,963 INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-05-12T16:32:32,059 INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 84 ms. Found 1 JPA repository interface.
2024-05-12T16:32:33,067 INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8083 (http)
2024-05-12T16:32:33,080 INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8083"]
2024-05-12T16:32:33,084 INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-05-12T16:32:33,084 INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2024-05-12T16:32:33,247 INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-05-12T16:32:33,248 INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2593 ms
2024-05-12T16:32:33,344 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
